ApplicantID,Age,Income,CreditScore,EmploymentYears,LoanAmount,Approved
A001,25,30000,650,2,15000,No
A002,35,75000,750,8,50000,Yes
A003,45,95000,800,15,80000,Yes
A004,22,25000,580,1,10000,No
A005,40,85000,780,12,60000,Yes
A006,30,55000,700,5,30000,Yes
A007,28,40000,620,3,25000,No
A008,50,110000,820,20,100000,Yes
A009,33,65000,720,6,40000,Yes
A010,24,28000,600,1,12000,No
A011,38,80000,760,10,55000,Yes
A012,42,90000,790,14,70000,Yes
A013,26,35000,640,2,18000,No
A014,48,105000,810,18,90000,Yes
A015,31,60000,710,5,35000,Yes
A016,23,27000,590,1,11000,No
A017,36,72000,740,7,45000,Yes
A018,44,92000,795,13,75000,Yes
A019,27,38000,630,3,20000,No
A020,52,115000,830,22,110000,Yes
A021,32,62000,715,6,38000,Yes
A022,29,42000,660,4,28000,No
A023,46,98000,805,16,85000,Yes
A024,34,68000,730,7,42000,Yes
A025,21,22000,560,1,8000,No
A026,39,82000,770,11,58000,Yes
A027,41,88000,785,13,65000,Yes
A028,25,32000,615,2,16000,No
A029,49,108000,815,19,95000,Yes
A030,37,78000,755,9,52000,Yes
